Run: 91210011 	Subrun: 51 	Number of background events: 6 	Processes: QS, QS, OtherResonance, DIS, DIS, DIS
Run: 91210008 	Subrun: 54 	Number of background events: 6 	Processes: OtherResonance, OtherResonance, OtherResonance, DIS, DIS, DIS
Run: 91210002 	Subrun: 41 	Number of background events: 6 	Processes: QS, QS, OtherResonance, OtherResonance, DIS, DIS
Run: 91210006 	Subrun: 89 	Number of background events: 6 	Processes: QS, QS, DeltaPPi, OtherResonance, DIS, DIS
Run: 91210000 	Subrun: 44 	Number of background events: 6 	Processes: QS, QS, QS, OtherResonance, OtherResonance, DIS
Run: 91210005 	Subrun: 39 	Number of background events: 6 	Processes: QS, OtherResonance, OtherResonance, ES, DIS, DIS
Run: 91210002 	Subrun: 22 	Number of background events: 6 	Processes: QS, QS, QS, QS, QS, OtherResonance
Run: 91210009 	Subrun: 97 	Number of background events: 6 	Processes: QS, QS, QS, QS, QS, DIS
Run: 91210006 	Subrun: 96 	Number of background events: 6 	Processes: OtherResonance, OtherResonance, DIS, DIS, DIS, DIS
Run: 91210010 	Subrun: 81 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, DIS, DIS
Run: 91210000 	Subrun: 26 	Number of background events: 5 	Processes: QS, DeltaPPi, OtherResonance, DIS, DIS
Run: 91210003 	Subrun: 29 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, DIS, DIS
Run: 91210013 	Subrun: 48 	Number of background events: 5 	Processes: QS, QS, OtherResonance, DIS, DIS
Run: 91210007 	Subrun: 40 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, DIS, DIS
Run: 91210008 	Subrun: 36 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, DIS, DIS
Run: 91210007 	Subrun: 47 	Number of background events: 5 	Processes: QS, DeltaPPi, DIS, DIS, DIS
Run: 91210013 	Subrun: 61 	Number of background events: 5 	Processes: OtherResonance, OtherResonance, DIS, DIS, DIS
Run: 91210011 	Subrun: 23 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, OtherResonance, DIS
Run: 91210003 	Subrun: 109 	Number of background events: 5 	Processes: QS, OtherResonance, ES, DIS, DIS
Run: 91210000 	Subrun: 76 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, OtherResonance
Run: 91210005 	Subrun: 73 	Number of background events: 5 	Processes: QS, OtherResonance, ES, DIS, DIS
Run: 91210011 	Subrun: 41 	Number of background events: 5 	Processes: OtherResonance, OtherResonance, OtherResonance, DIS, DIS
Run: 91210009 	Subrun: 85 	Number of background events: 5 	Processes: OtherResonance, OtherResonance, OtherResonance, OtherResonance, DIS
Run: 91210010 	Subrun: 62 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, OtherResonance, C
Run: 91210010 	Subrun: 75 	Number of background events: 5 	Processes: QS, QS, OtherResonance, OtherResonance, DIS
Run: 91210008 	Subrun: 58 	Number of background events: 5 	Processes: QS, QS, OtherResonance, DIS, DIS
Run: 91210002 	Subrun: 54 	Number of background events: 5 	Processes: QS, QS, QS, QS, OtherResonance
Run: 91210003 	Subrun: 90 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, OtherResonance, DIS
Run: 91210008 	Subrun: 53 	Number of background events: 5 	Processes: QS, DeltaPPi, OtherResonance, DIS, DIS
Run: 91210006 	Subrun: 41 	Number of background events: 5 	Processes: QS, QS, OtherResonance, ES, DIS
Run: 91210006 	Subrun: 38 	Number of background events: 5 	Processes: QS, QS, QS, QS, DeltaPPi
Run: 91210004 	Subrun: 5 	Number of background events: 5 	Processes: DeltaPPi, DIS, DIS, DIS, DIS
Run: 91210000 	Subrun: 96 	Number of background events: 5 	Processes: QS, DIS, OtherResonance, DeltaPPi, DeltaPPi
Run: 91210011 	Subrun: 25 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, DIS
Run: 91210002 	Subrun: 70 	Number of background events: 5 	Processes: QS, QS, DIS, DIS, DeltaPPi
Run: 91210010 	Subrun: 101 	Number of background events: 5 	Processes: QS, QS, QS, QS, DeltaPPi
Run: 91210011 	Subrun: 4 	Number of background events: 5 	Processes: QS, DeltaPPi, DIS, DIS, DIS
Run: 91210011 	Subrun: 63 	Number of background events: 5 	Processes: QS, QS, DIS, OtherResonance, DeltaPPi
Run: 91210003 	Subrun: 83 	Number of background events: 5 	Processes: QS, QS, OtherResonance, OtherResonance, DIS
Run: 91210003 	Subrun: 101 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, DIS
Run: 91210007 	Subrun: 104 	Number of background events: 5 	Processes: QS, QS, OtherResonance, ES, DIS
Run: 91210008 	Subrun: 6 	Number of background events: 5 	Processes: QS, OtherResonance, DIS, DIS, DIS
Run: 91210001 	Subrun: 9 	Number of background events: 5 	Processes: QS, QS, QS, QS, OtherResonance
Run: 91210007 	Subrun: 75 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, DIS
Run: 91210003 	Subrun: 56 	Number of background events: 5 	Processes: QS, QS, OtherResonance, OtherResonance, DIS
Run: 91210009 	Subrun: 91 	Number of background events: 5 	Processes: QS, QS, QS, DIS, DeltaPPi
Run: 91210014 	Subrun: 2 	Number of background events: 5 	Processes: QS, QS, DeltaPPi, OtherResonance, DIS
Run: 91210000 	Subrun: 7 	Number of background events: 5 	Processes: QS, DIS, OtherResonance, OtherResonance, DeltaPPi
Run: 91210010 	Subrun: 83 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, OtherResonance, DIS
Run: 91210000 	Subrun: 12 	Number of background events: 5 	Processes: QS, DeltaPPi, OtherResonance, ES, DIS
Run: 91210002 	Subrun: 94 	Number of background events: 5 	Processes: QS, QS, OtherResonance, DIS, DIS
Run: 91210003 	Subrun: 8 	Number of background events: 5 	Processes: QS, QS, OtherResonance, OtherResonance, DeltaPPi
Run: 91210003 	Subrun: 45 	Number of background events: 5 	Processes: QS, QS, QS, DIS, DIS
Run: 91210007 	Subrun: 31 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, OtherResonance, C
Run: 91210011 	Subrun: 90 	Number of background events: 5 	Processes: QS, QS, DIS, DIS, DIS
Run: 91210007 	Subrun: 22 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, DIS
Run: 91210013 	Subrun: 98 	Number of background events: 5 	Processes: QS, QS, OtherResonance, OtherResonance, OtherResonance
Run: 91210009 	Subrun: 10 	Number of background events: 5 	Processes: QS, QS, OtherResonance, DIS, DIS
Run: 91210013 	Subrun: 93 	Number of background events: 5 	Processes: QS, QS, QS, ES, ES
Run: 91210002 	Subrun: 110 	Number of background events: 5 	Processes: QS, QS, QS, QS, OtherResonance
Run: 91210000 	Subrun: 22 	Number of background events: 5 	Processes: QS, QS, OtherResonance, OtherResonance, DIS
Run: 91210008 	Subrun: 41 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, ES
Run: 91210008 	Subrun: 46 	Number of background events: 5 	Processes: QS, QS, DeltaPPi, OtherResonance, DIS
Run: 91210006 	Subrun: 0 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, ES, DIS
Run: 91210002 	Subrun: 45 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, DeltaPPi
Run: 91210007 	Subrun: 37 	Number of background events: 5 	Processes: QS, QS, OtherResonance, OtherResonance, DIS
Run: 91210008 	Subrun: 31 	Number of background events: 5 	Processes: QS, DIS, DIS, DIS, DIS
Run: 91210003 	Subrun: 46 	Number of background events: 5 	Processes: QS, QS, QS, DIS, DIS
Run: 91210000 	Subrun: 30 	Number of background events: 5 	Processes: QS, QS, QS, DIS, DIS
Run: 91210010 	Subrun: 14 	Number of background events: 5 	Processes: QS, QS, OtherResonance, ES, DIS
Run: 91210008 	Subrun: 71 	Number of background events: 5 	Processes: OtherResonance, OtherResonance, ES, DIS, DIS
Run: 91210008 	Subrun: 86 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, DIS, DIS
Run: 91210003 	Subrun: 5 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, OtherResonance, DIS
Run: 91210009 	Subrun: 72 	Number of background events: 5 	Processes: QS, QS, OtherResonance, OtherResonance, DIS
Run: 91210003 	Subrun: 66 	Number of background events: 5 	Processes: QS, QS, OtherResonance, OtherResonance, DIS
Run: 91210003 	Subrun: 0 	Number of background events: 5 	Processes: QS, QS, OtherResonance, DIS, DIS
Run: 91210003 	Subrun: 69 	Number of background events: 5 	Processes: QS, QS, OtherResonance, DIS, DIS
Run: 91210000 	Subrun: 109 	Number of background events: 5 	Processes: QS, QS, OtherResonance, ES, DIS
Run: 91210000 	Subrun: 19 	Number of background events: 5 	Processes: QS, QS, OtherResonance, OtherResonance, DIS
Run: 91210007 	Subrun: 67 	Number of background events: 5 	Processes: QS, QS, OtherResonance, OtherResonance, OtherResonance
Run: 91210000 	Subrun: 21 	Number of background events: 5 	Processes: QS, QS, ES, ES, DeltaPPi
Run: 91210010 	Subrun: 52 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, C, ES
Run: 91210000 	Subrun: 10 	Number of background events: 5 	Processes: QS, QS, OtherResonance, OtherResonance, OtherResonance
Run: 91210005 	Subrun: 54 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, OtherResonance
Run: 91210009 	Subrun: 34 	Number of background events: 5 	Processes: QS, QS, OtherResonance, OtherResonance, ES
Run: 91210012 	Subrun: 100 	Number of background events: 5 	Processes: QS, QS, OtherResonance, DIS, DIS
Run: 91210013 	Subrun: 104 	Number of background events: 5 	Processes: QS, QS, OtherResonance, DIS, DIS
Run: 91210006 	Subrun: 29 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, OtherResonance
Run: 91210000 	Subrun: 82 	Number of background events: 5 	Processes: QS, QS, QS, DIS, DIS
Run: 91210008 	Subrun: 20 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, DIS, DIS
Run: 91210010 	Subrun: 25 	Number of background events: 5 	Processes: QS, QS, QS, QS, OtherResonance
Run: 91210005 	Subrun: 19 	Number of background events: 5 	Processes: QS, QS, QS, DeltaPPi, DIS
Run: 91210006 	Subrun: 103 	Number of background events: 5 	Processes: QS, QS, OtherResonance, OtherResonance, OtherResonance
Run: 91210012 	Subrun: 43 	Number of background events: 5 	Processes: QS, QS, DeltaPPi, OtherResonance, DIS
Run: 91210002 	Subrun: 89 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, OtherResonance
Run: 91210011 	Subrun: 99 	Number of background events: 5 	Processes: QS, QS, OtherResonance, ES, DIS
Run: 91210002 	Subrun: 82 	Number of background events: 5 	Processes: OtherResonance, OtherResonance, DIS, DIS, DIS
Run: 91210009 	Subrun: 15 	Number of background events: 5 	Processes: QS, OtherResonance, DIS, DIS, DIS
Run: 91210009 	Subrun: 71 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, OtherResonance, DIS
Run: 91210012 	Subrun: 86 	Number of background events: 5 	Processes: QS, QS, QS, DIS, DIS
Run: 91210007 	Subrun: 97 	Number of background events: 5 	Processes: QS, QS, QS, DeltaPPi, DIS
Run: 91210000 	Subrun: 6 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, OtherResonance
Run: 91210010 	Subrun: 79 	Number of background events: 5 	Processes: QS, OtherResonance, DIS, DIS, DIS
Run: 91210006 	Subrun: 35 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, DIS
Run: 91210003 	Subrun: 31 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, OtherResonance, DeltaPPi
Run: 91210013 	Subrun: 9 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, OtherResonance, DIS
Run: 91210008 	Subrun: 33 	Number of background events: 5 	Processes: QS, QS, OtherResonance, OtherResonance, DIS
Run: 91210007 	Subrun: 4 	Number of background events: 5 	Processes: OtherResonance, OtherResonance, OtherResonance, ES, DIS
Run: 91210001 	Subrun: 5 	Number of background events: 5 	Processes: QS, OtherResonance, DIS, DIS, DIS
Run: 91210003 	Subrun: 36 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, ES
Run: 91210011 	Subrun: 1 	Number of background events: 5 	Processes: QS, OtherResonance, DIS, DIS, DIS
Run: 91210000 	Subrun: 39 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, DIS, DIS
Run: 91210013 	Subrun: 107 	Number of background events: 5 	Processes: QS, QS, OtherResonance, DIS, DIS
Run: 91210012 	Subrun: 91 	Number of background events: 5 	Processes: QS, OtherResonance, DIS, DIS, DIS
Run: 91210000 	Subrun: 74 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, DeltaPPi
Run: 91210001 	Subrun: 42 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, DIS
Run: 91210006 	Subrun: 102 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, DIS, DIS
Run: 91210002 	Subrun: 106 	Number of background events: 5 	Processes: DeltaPPi, DIS, DIS, DIS, DIS
Run: 91210005 	Subrun: 48 	Number of background events: 5 	Processes: QS, QS, OtherResonance, DIS, DIS
Run: 91210009 	Subrun: 94 	Number of background events: 5 	Processes: QS, QS, QS, DIS, DIS
Run: 91210000 	Subrun: 102 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, DeltaPPi
Run: 91210001 	Subrun: 75 	Number of background events: 5 	Processes: QS, DeltaPPi, OtherResonance, OtherResonance, DIS
Run: 91210005 	Subrun: 53 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, DIS, DIS
Run: 91210010 	Subrun: 36 	Number of background events: 5 	Processes: QS, DIS, DIS, DIS, DIS
Run: 91210012 	Subrun: 106 	Number of background events: 5 	Processes: OtherResonance, OtherResonance, OtherResonance, DIS, DIS
Run: 91210003 	Subrun: 30 	Number of background events: 5 	Processes: QS, DIS, DIS, DIS, DeltaPPi
Run: 91210011 	Subrun: 5 	Number of background events: 5 	Processes: QS, OtherResonance, OtherResonance, OtherResonance, DIS
Run: 91210012 	Subrun: 90 	Number of background events: 5 	Processes: QS, QS, OtherResonance, DIS, DIS
Run: 91210011 	Subrun: 44 	Number of background events: 5 	Processes: QS, DeltaPPi, OtherResonance, DIS, DIS
Run: 91210008 	Subrun: 14 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, OtherResonance
Run: 91210000 	Subrun: 53 	Number of background events: 5 	Processes: QS, QS, DIS, DIS, DIS
Run: 91210011 	Subrun: 42 	Number of background events: 5 	Processes: QS, OtherResonance, ES, DIS, DIS
Run: 91210009 	Subrun: 28 	Number of background events: 5 	Processes: DeltaPPi, OtherResonance, OtherResonance, OtherResonance, DIS
Run: 91210009 	Subrun: 84 	Number of background events: 5 	Processes: DIS, DIS, DIS, ES, DeltaPPi
Run: 91210001 	Subrun: 80 	Number of background events: 5 	Processes: QS, QS, OtherResonance, OtherResonance, DIS
Run: 91210006 	Subrun: 3 	Number of background events: 5 	Processes: QS, OtherResonance, ES, DIS, DIS
Run: 91210009 	Subrun: 17 	Number of background events: 5 	Processes: QS, QS, OtherResonance, C, DIS
Run: 91210007 	Subrun: 5 	Number of background events: 5 	Processes: QS, QS, DIS, DIS, DIS
Run: 91210003 	Subrun: 51 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, DIS
Run: 91210004 	Subrun: 111 	Number of background events: 5 	Processes: OtherResonance, OtherResonance, DIS, DIS, DIS
Run: 91210009 	Subrun: 78 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, DIS
Run: 91210001 	Subrun: 73 	Number of background events: 5 	Processes: QS, QS, QS, OtherResonance, OtherResonance
Run: 91210002 	Subrun: 53 	Number of background events: 4 	Processes: OtherResonance, OtherResonance, OtherResonance, OtherResonance
Run: 91210012 	Subrun: 62 	Number of background events: 4 	Processes: OtherResonance, OtherResonance, OtherResonance, DIS
Run: 91210005 	Subrun: 51 	Number of background events: 4 	Processes: QS, QS, QS, DIS
Run: 91210009 	Subrun: 31 	Number of background events: 4 	Processes: QS, QS, QS, DIS
Run: 91210000 	Subrun: 35 	Number of background events: 4 	Processes: QS, QS, OtherResonance, OtherResonance
Run: 91210004 	Subrun: 3 	Number of background events: 4 	Processes: QS, OtherResonance, OtherResonance, DIS
Run: 91210001 	Subrun: 96 	Number of background events: 4 	Processes: QS, QS, QS, QS
Run: 91210007 	Subrun: 8 	Number of background events: 4 	Processes: OtherResonance, OtherResonance, OtherResonance, ES
